gid,objeto,geom,fna,gna,nam,in1,tgl,cod_tgl,nam_prov,cod_prov,fdc,sag
118,Gobierno local,MULTIPOINT(-65.7098722770839 -43.3079788424496),Municipio Dolavon,Municipio,Dolavon,260091,Municipio,M2,Chubut,26,BAHRA,IGN
119,Gobierno local,MULTIPOINT(-65.4983708667221 -43.2916167983765),Municipio Gaiman,Municipio,Gaiman,260098,Municipio,M2,Chubut,26,BAHRA,IGN
120,Gobierno local,MULTIPOINT(-65.8404264780995 -43.389222163472),Comisión 28 de Julio,Comisión,28 de Julio,265014,Comisión de Fomento,CF,Chubut,26,BAHRA,IGN
121,Gobierno local,MULTIPOINT(-69.2221438044929 -42.2631981301895),Comuna Gastre,Comuna,Gastre,268035,Comuna Rural,CR,Chubut,26,BAHRA,IGN
122,Gobierno local,MULTIPOINT(-69.149005869825 -42.742232747843),Comuna Lagunita Salada,Comuna,Lagunita Salada,268042,Comuna Rural,CR,Chubut,26,BAHRA,IGN
123,Gobierno local,MULTIPOINT(-69.6922931608007 -43.3208227440743),Comuna Aldea Epulef,Comuna,Aldea Epulef,268049,Comuna Rural,CR,Chubut,26,BAHRA,IGN
124,Gobierno local,MULTIPOINT(-71.7021346870661 -43.5878979284466),Comuna Carrenleufú,Comuna,Carrenleufú,268056,Comuna Rural,CR,Chubut,26,BAHRA,IGN
125,Gobierno local,MULTIPOINT(-69.9303348840476 -43.2413702727198),Comuna Colán Conhué,Comuna,Colán Conhué,268063,Comuna Rural,CR,Chubut,26,BAHRA,IGN
126,Gobierno local,MULTIPOINT(-69.6081536891414 -42.7351158728992),Comuna Paso del Sapo,Comuna,Paso del Sapo,268070,Comuna Rural,CR,Chubut,26,BAHRA,IGN
127,Gobierno local,MULTIPOINT(-70.8107807404388 -43.4928649436622),Municipio Tecka,Municipio,Tecka,260105,Municipio,M2,Chubut,26,BAHRA,IGN
128,Gobierno local,MULTIPOINT(-67.2842377968368 -43.7216248836814),Comuna Las Plumas,Comuna,Las Plumas,268077,Comuna Rural,CR,Chubut,26,BAHRA,IGN
129,Gobierno local,MULTIPOINT(-68.4116439963733 -43.8861146801484),Comuna Los Altares,Comuna,Los Altares,268084,Comuna Rural,CR,Chubut,26,BAHRA,IGN
130,Gobierno local,MULTIPOINT(-69.0465861739128 -43.8643860055097),Comisión Paso de Indios,Comisión,Paso de Indios,265021,Comisión de Fomento,CF,Chubut,26,BAHRA,IGN
131,Gobierno local,MULTIPOINT(-65.1126030633806 -43.2955738333657),Municipio Rawson,Municipio,Rawson,260112,Municipio,M1,Chubut,26,BAHRA,IGN
132,Gobierno local,MULTIPOINT(-65.3093805897424 -43.2531867501684),Municipio Trelew,Municipio,Trelew,260119,Municipio,M1,Chubut,26,BAHRA,IGN
