alt	name
bezerro branco	Cáceres
caramujo	Cáceres
curvelandia	Cáceres
horizonte do oeste	Cáceres
são josé do couto	Campinápolis
itanorte	Campo Novo do Parecis
marechal rondon	Campo Novo do Parecis
coronel ponce	Campo Verde
rio da casca	Chapada dos Guimarães
colnia dos mineiros	Comodoro
padronal	Comodoro
veranpolis	Confresa
vila paredao	General Carneiro, Mato Grosso
alcantilado	Guiratinga
estrela do leste	Guiratinga
toriparu	Guiratinga
celma	Jaciara
lucialva	Jauru
catua	Juara
guas claras	Juara
paranorte	Juara
fontanillas	Juína
terra roxa	Juína
irenopolis	Juscimeira
santa elvira	Juscimeira
são lourenço de fatima	Juscimeira
groslndia	Lucas do Rio Verde
sonho azul	Mirassol d'Oeste
pirizal	Nossa Senhora do Livramento
ribeirao dos cocais	Nossa Senhora do Livramento
seco	Nossa Senhora do Livramento
nova brazilandia	Nova Brasilândia
colorado do norte	Nova Canaã do Norte
ouro branco	Nova Canaã do Norte
trivelato	Nova Mutum
são josé do planalto	Pedra Preta, Mato Grosso
fazenda de cima	Poconé
nova galileia	Rondonópolis
vila operaria	Rondonópolis
arruda	Rosário Oeste
bauxi	Rosário Oeste
cristinopolis	Salto do Céu
vila progresso	Salto do Céu
caite	Santo Antônio do Leverger
nova catanduva	São José do Povo
caravagio	Tapurah
novo eldorado	Tapurah
miraguai do norte	Terra Nova do Norte
nona agrovila	Terra Nova do Norte
nonoai do norte	Terra Nova do Norte
batovi	Tesouro
cassununga	Tesouro
passagem da conceicao	Várzea Grande, Mato Grosso
alto sucuriu	Água Clara
bela alvorada	Água Clara
gua clara	Água Clara
alcinpolis	Alcinópolis
amamba	Amambai
anastcio	Anastácio
anaurilndia	Anaurilândia
angélica	Angélica
ipezal	Angélica
antnio joão	Antônio João
camisao	Aquidauana
cipolandia	Aquidauana
piraputanga	Aquidauana
taunay	Aquidauana
congonha	Bandeirantes, Mato Grosso do Sul
porto xv de novembro	Bataguassu
morraria do sul	Bodoquena
jabuti	Bonito, Mato Grosso do Sul
brazilndia	Brasilândia
debrasa	Brasilândia
caarap	Caarapó
camapu	Camapuã
